1001,08-2024,1200.0,300.0,05-08-2024,12345.67,1500.0,500.0,14345.67,12-08-2024,true,10-08-2024
1002,08-2024,1500.0,0.0,06-08-2024,17000.0,2000.0,500.0,19500.0,13-08-2024,true,12-08-2024
1003,08-2024,1800.0,0.0,07-08-2024,21000.0,2500.0,500.0,24000.0,14-08-2024,true,13-08-2024
1004,08-2024,2000.0,500.0,08-08-2024,25500.0,3000.0,500.0,29000.0,15-08-2024,true,14-08-2024
1005,08-2024,1000.0,0.0,09-08-2024,11500.0,1200.0,500.0,13200.0,16-08-2024,true,15-08-2024
1006,08-2024,2300.0,700.0,10-08-2024,28000.0,3500.0,500.0,32000.0,17-08-2024,true,15-08-2024
1007,08-2024,1400.0,0.0,11-08-2024,16000.0,1800.0,500.0,18300.0,18-08-2024,true,17-08-2024
1008,08-2024,1700.0,350.0,12-08-2024,19000.0,2200.0,500.0,21700.0,19-08-2024,true,18-08-2024
1009,08-2024,1500.0,0.0,13-08-2024,17500.0,2000.0,500.0,20000.0,20-08-2024,true,19-08-2024
1010,08-2024,1800.0,400.0,14-08-2024,22500.0,2700.0,500.0,25700.0,21-08-2024,true,20-08-2024
1011,08-2024,100.0,75.0,01-09-2024,1700.0,289.0,150.0,2139.0,8-9-2024,true,17-09-2024
1001,09-2024,150.0,300.0,01-09-2024,1000.0,170.0,150.0,1320.0,25-9-2024,true,18-09-2024
