1001,08/2024,1200,300,05/08/2024,12345.67,1500.00,500.00,14345.67,12/08/2024,Paid,10/08/2024
1002,08/2024,1500,0,06/08/2024,17000.00,2000.00,500.00,19500.00,13/08/2024,Paid,12/08/2024
1003,08/2024,1800,0,07/08/2024,21000.00,2500.00,500.00,24000.00,14/08/2024,Paid,13/08/2024
1004,08/2024,2000,500,08/08/2024,25500.00,3000.00,500.00,29000.00,15/08/2024,Paid,14/08/2024
1005,08/2024,1000,0,09/08/2024,11500.00,1200.00,500.00,13200.00,16/08/2024,Paid,15/08/2024
1006,08/2024,2300,700,10/08/2024,28000.00,3500.00,500.00,32000.00,17/08/2024,Paid,15/08/2024
1007,08/2024,1400,0,11/08/2024,16000.00,1800.00,500.00,18300.00,18/08/2024,Paid,17/08/2024
1008,08/2024,1700,350,12/08/2024,19000.00,2200.00,500.00,21700.00,19/08/2024,Paid,18/08/2024
1009,08/2024,1500,0,13/08/2024,17500.00,2000.00,500.00,20000.00,20/08/2024,Paid,19/08/2024
1010,08/2024,1800,400,14/08/2024,22500.00,2700.00,500.00,25700.00,21/08/2024,Paid,20/08/2024
